State-County FIPS,Total Active Borrowers,Very Low Income,Low Income,Married,American Indian/Alaskan Native,Asian,Black/African American,Hawaiin Pacific Islander,White,Hispanic,Average Number of Children,Average Household Size
47149,159,63,96,42,1,1,17,0,134,0,1.1,2.3
47151,100,41,59,60,0,0,0,0,97,0,1.2,3
47153,49,19,29,12,1,0,0,0,48,0,1.2,2.6
47155,103,47,56,38,1,0,3,0,99,1,1.3,2.6
47157,128,26,102,30,1,0,90,0,33,1,1,2
47159,32,17,14,9,1,0,8,0,20,0,0.8,2.1
47161,25,10,16,12,0,0,0,0,24,0,1.8,3.3
47163,88,37,51,31,1,0,2,0,84,0,1.2,2.6
47165,60,27,33,20,0,0,2,0,56,0,0.7,1.8
47167,364,157,205,115,2,1,168,1,179,6,1.2,2.4
47169,14,2,10,2,0,1,2,0,11,0,2,3.3
47171,20,5,15,8,0,0,1,0,19,0,0.8,2
47173,50,31,19,24,1,1,0,0,48,0,1.1,2.3
47175,14,4,10,6,1,0,0,0,12,0,0.4,1.6
47177,161,78,82,58,3,1,10,0,137,3,1,2.3
47179,150,54,96,50,1,0,3,0,145,4,1.2,2.4
47181,16,6,10,4,0,0,4,0,11,0,0.5,1
47183,68,31,37,13,0,1,18,0,48,1,1,2.4
47185,68,27,41,23,2,0,4,0,59,1,1.3,2.7
47187,53,20,33,16,0,0,7,0,43,0,0.9,2
47189,43,21,22,6,0,2,4,0,37,1,1.1,2.2
48001,139,49,90,34,2,0,63,0,62,6,1.4,2.7
48003,11,2,9,4,0,0,0,0,11,6,2,3.3
48005,230,85,142,84,2,3,52,0,165,76,1.4,2.6
48007,13,5,8,8,0,0,0,0,11,5,3.5,5
48009,10,3,7,5,0,0,0,0,10,0,1.3,2.8
48011,6,2,4,4,0,0,1,0,5,0,1.3,3
48013,32,4,28,17,0,0,0,0,32,25,0.7,2
48015,19,12,7,8,0,0,7,0,12,4,1.4,2.3
48017,12,0,11,6,0,0,0,0,12,4,,
48019,15,8,7,6,0,0,0,0,14,4,0.8,2
48021,174,93,81,49,1,2,30,0,134,48,1.1,2.1
48023,10,1,9,3,0,0,1,0,9,0,0,1
48025,197,83,112,84,2,2,9,0,179,140,1.2,2.5
48027,64,17,46,18,1,2,7,1,52,15,1.1,2.5
48029,47,17,30,20,1,0,15,0,31,20,1.9,3.4
48031,10,3,7,0,1,0,1,0,9,2,1.3,2.2
48035,16,3,13,5,0,0,1,0,15,3,0.7,1.8
48037,157,52,105,34,0,0,82,0,71,7,1.7,2.9
48039,203,89,114,80,3,1,56,0,137,46,1.3,2.8
48041,28,5,23,4,0,1,15,0,12,4,2,3.4
48045,5,0,5,2,0,0,0,0,5,0,1.5,2.5
48047,41,12,29,14,0,0,1,0,39,39,1.8,3.1
48049,168,51,113,43,0,1,11,0,151,17,1.1,2.4
48051,36,8,28,18,1,0,15,0,19,4,1.2,2.7
48053,38,14,24,16,0,0,2,0,36,9,1.4,2.8
48055,88,48,39,38,0,0,17,0,70,50,1.4,2.6
48057,32,5,27,12,0,0,1,0,29,16,1.7,3
48059,11,2,9,6,1,0,0,0,10,0,1.4,2.6
48061,"1,084",482,589,720,2,4,0,0,"1,057","1,051",1.3,2.6
48063,37,12,25,9,0,0,22,0,14,6,1,2.5
48065,5,0,5,4,0,0,0,0,5,1,0,1
48067,75,19,55,27,0,1,46,0,26,0,1.6,2.9
48069,36,11,25,20,0,0,2,0,34,29,2,3.5
48071,12,0,12,4,0,0,7,0,5,0,1.2,2.4
48073,85,24,62,22,0,1,47,0,33,4,1,1.8
48075,13,3,10,3,0,0,4,0,9,0,1,2
48077,14,5,9,5,1,0,0,0,12,0,0.9,2.4
48079,3,0,3,0,0,0,1,0,2,0,,
48081,6,1,5,2,1,0,0,0,5,0,1,2.5
48083,15,1,14,7,0,0,1,0,13,5,1.6,3.4
48085,70,27,41,26,1,2,20,1,50,11,1.5,2.9
48087,4,0,4,1,0,0,0,0,4,0,,
48089,11,4,7,4,1,0,6,0,4,2,2.8,4
48091,13,4,9,3,0,0,0,0,13,0,1,2.3
48093,18,2,16,6,0,0,0,0,18,5,2.4,3.9
48095,16,2,14,7,0,0,0,0,16,6,1.9,3.3
48097,22,5,17,12,0,0,0,0,21,2,0.9,1.6
48099,22,6,15,7,0,0,2,0,20,3,,
48101,12,2,10,9,0,0,2,0,10,4,0,2
48103,6,4,2,0,0,0,0,0,5,3,2,3
48105,7,0,7,3,0,0,0,0,7,5,2.7,4.5
48107,16,1,15,6,0,0,4,0,12,5,2.2,3.6
48109,2,1,1,2,0,0,0,0,2,1,,
48111,19,3,15,7,0,0,0,0,18,7,1.9,3.1
48113,231,105,126,75,12,11,29,11,204,41,1.1,2.2
48115,40,17,22,25,0,1,2,0,37,25,1.6,3.2
48117,10,5,5,3,0,0,0,0,10,7,1.7,2.7
48119,25,11,14,13,0,0,5,0,20,0,1.8,3.5
48121,125,52,73,58,9,8,15,7,112,37,1.2,2.4
48123,38,12,26,15,0,0,13,0,24,14,2.2,3.6
48125,3,1,2,2,0,0,0,0,3,1,,
48127,47,14,32,17,0,0,0,0,45,45,2.1,3.5
48129,2,1,1,1,0,0,0,0,2,0,3,5
48131,24,9,14,13,1,0,0,0,23,22,1,3.5
48133,16,8,7,6,0,0,1,0,13,2,0.8,2.3
48135,2,1,1,0,0,0,0,0,2,2,,
48137,2,1,1,0,0,0,0,0,2,2,0,0
48139,257,84,172,109,2,0,75,0,171,36,1.2,2.2
48141,"1,856",1085,762,"1,358",7,1,3,2,"1,795","1,781",1.3,2.5
48143,19,2,17,5,0,0,1,0,18,3,0.8,1.8
48145,73,17,56,22,2,0,49,0,18,4,0.6,1.4
48147,35,18,17,15,1,0,5,0,28,0,0.8,2.2
48149,8,4,4,2,0,0,1,0,7,2,0,0.8
48151,3,0,3,2,0,0,0,0,3,1,2,3
48153,7,2,6,7,0,0,2,0,6,6,2.5,4.5
48155,1,0,1,0,0,0,1,0,0,0,3,5
48157,87,26,61,27,1,0,52,0,34,25,1.9,3.3
48159,20,9,11,6,0,0,7,0,13,4,1.6,2.7
48161,35,17,18,9,0,0,20,0,11,2,0.8,1.5
48163,55,15,38,21,2,0,0,0,52,51,2.3,3.8
48165,2,1,1,0,0,0,0,0,2,0,,
48167,27,6,21,9,0,1,19,0,6,0,1.4,3
48169,1,0,1,0,0,0,0,0,1,1,2,3
48171,90,30,60,45,2,0,0,0,88,47,2,3.5
48173,1,0,1,1,0,0,0,0,1,0,1,3
48175,6,2,4,0,1,0,2,0,3,2,,
48177,28,5,23,11,2,0,14,0,11,6,2,4.5
48179,6,3,3,4,0,0,1,0,5,1,2,4
48181,24,10,14,11,1,0,0,0,23,6,1,2.1
48183,43,12,30,11,0,0,19,0,23,0,1.2,2.2
48185,47,11,36,11,3,0,33,0,10,7,1.2,2.1
48187,131,48,83,45,1,1,7,0,119,52,1.6,2.7
48189,26,11,15,17,0,0,5,0,21,14,1.4,2.4
48191,4,0,4,1,0,0,1,0,3,1,5,7
48193,5,1,4,1,0,0,0,0,5,0,2,4
48195,1,0,1,1,0,0,0,0,1,0,2,4
48197,1,0,1,0,0,0,0,0,1,0,,
48199,34,14,20,8,1,0,4,0,26,2,0.6,1.9
48201,75,31,43,22,1,0,36,0,34,12,1.7,3
48203,55,21,34,14,0,0,27,0,27,0,1.2,2.4
48205,6,2,4,4,0,0,0,0,6,2,1.6,2.8
48207,23,7,16,10,0,0,4,0,19,5,1.1,2.6
48209,120,50,70,33,3,0,10,0,108,70,1.2,2.5
48211,1,1,0,1,0,0,0,0,1,0,,
48213,159,46,113,60,2,0,35,1,118,10,1.6,3.2
48215,"1,704",626,1061,"1,117",17,2,1,0,"1,661","1,659",1.8,3.4
48217,36,10,26,19,1,0,9,0,26,7,1.1,2.5
48219,12,2,10,5,0,0,0,0,12,6,2.3,3.8
48221,16,9,7,8,0,0,0,0,16,0,1.5,2.9
48223,104,22,82,39,1,0,24,1,74,6,1.3,2.5
48225,201,46,151,58,0,0,125,0,49,2,0.7,1.9
48227,4,3,1,1,0,0,0,0,3,1,1.3,2.7
48229,1,0,1,0,0,0,0,0,1,0,,
48231,90,47,42,37,7,5,17,5,71,9,1.3,2.6
48233,5,4,1,0,0,0,0,0,5,0,1,2
48235,2,1,1,1,0,0,0,0,2,2,0,2
48237,3,0,3,0,0,0,0,0,3,0,3,4
48239,31,8,23,10,0,0,7,0,23,12,1.4,2.6
48241,67,29,37,21,0,0,29,0,34,2,1.1,2.3
48243,2,2,0,0,0,0,0,0,2,1,2,3
48245,20,2,17,5,1,0,4,1,13,2,1.7,3
48247,125,31,91,56,2,3,1,0,116,114,1.7,3.5
48249,77,21,54,24,0,0,1,0,75,70,1.9,3.5
48251,140,68,70,60,2,0,6,0,133,30,1.2,2.4
48253,37,9,26,14,2,0,3,0,30,4,1.7,3.4
48255,12,4,6,4,1,0,1,0,9,7,,
48257,337,155,182,129,2,0,57,0,261,65,1.3,2.5
48259,19,10,9,6,0,0,0,0,19,6,1.4,2.8
48263,3,0,3,2,0,0,0,0,3,1,1,2.7
48265,188,57,130,65,3,2,9,1,171,69,1.5,2.8
48267,17,4,13,8,0,0,0,0,17,5,2,3.8
48269,7,3,4,4,0,0,5,0,2,1,,
48271,1,0,1,0,0,0,0,0,1,0,0,1
48273,2,0,2,2,0,0,0,0,2,1,4,6
48275,20,1,18,9,0,0,5,0,14,3,0.9,2.4
48277,74,27,46,34,0,1,7,0,63,0,1.1,2.3
48279,23,4,18,9,2,0,2,0,17,6,2,3.5
48281,24,9,15,9,0,0,2,0,22,6,2,3
48283,4,1,3,2,0,0,0,0,4,3,0.7,1.7
48285,10,1,8,6,0,0,3,0,7,4,1.3,2.7
48287,9,4,5,3,0,0,2,0,7,0,1,2.2
48289,25,4,21,7,0,0,11,0,13,1,1.9,3.1
48291,95,33,62,31,0,0,25,0,66,6,1,2.1
48293,47,16,31,14,0,0,25,0,21,5,0.7,1.6
48295,1,1,0,0,0,0,0,0,1,0,,
48297,73,23,48,33,2,0,1,0,68,41,1.1,2.6
48299,14,4,10,7,0,0,0,0,13,4,0.9,2.1
48303,49,6,43,24,1,0,3,0,45,14,1,2.7
48305,3,0,3,1,0,0,0,0,3,0,,
48307,26,5,20,12,0,0,0,0,25,5,1,3
48309,147,65,82,34,1,1,40,0,98,17,1.8,2.9
48313,15,3,12,6,1,0,7,0,7,3,2.8,4.3
48315,21,9,12,9,0,0,16,0,4,0,2,4
48317,2,0,1,1,0,0,1,0,1,0,,
48319,7,1,6,4,0,0,0,0,7,4,1.3,2.7
48321,22,7,15,4,0,0,8,0,14,9,1.7,2.9
48323,472,226,246,361,3,0,1,0,466,467,1.5,3
48325,18,3,15,8,1,2,0,0,15,11,2,3.6
48327,6,1,5,4,0,0,0,0,6,4,0,1
48329,2,0,1,0,1,0,0,0,2,1,,
48331,37,5,32,17,0,0,13,0,23,9,1.5,2.5
48333,3,0,3,0,0,0,0,0,3,0,1,3
48335,6,3,3,1,0,0,3,0,3,1,0.8,2.2
48337,33,11,22,16,0,0,0,0,32,3,0.9,2.3
48339,262,134,127,88,4,1,19,1,224,41,1.1,2.3
48341,17,3,14,9,1,0,0,0,16,10,2.1,3.7
48343,38,14,23,15,1,0,23,0,12,0,1.7,3.4
48347,56,17,39,15,0,0,15,0,35,1,1.4,2.5
48349,45,13,32,16,0,1,22,0,17,3,0.1,1
48351,9,2,7,6,0,0,5,0,3,1,2,3.5
48353,30,9,21,8,0,0,2,0,28,11,1.9,3.2
48355,7,1,6,2,0,0,0,0,7,6,2,3
48357,4,0,4,2,0,0,0,0,4,1,,
48359,1,0,1,1,0,0,0,0,1,0,3,5
48361,45,13,32,10,0,0,0,0,43,1,0.8,1.8
48363,19,2,16,5,0,0,1,0,18,1,2,3.2
48365,7,2,5,1,0,0,1,0,6,0,1.3,2.7
48367,99,35,64,39,1,0,0,0,97,5,1,2
48369,20,4,16,9,1,0,1,0,18,13,1.6,3.2
48371,59,24,34,15,0,0,1,0,58,53,1.8,3.2
48373,33,12,21,14,0,0,14,1,19,1,0.3,1.4
48375,10,2,8,4,0,1,0,0,9,1,2.5,4.4
48377,2,1,1,1,0,0,0,0,2,1,0,1
48379,11,2,9,6,0,0,2,0,9,0,0.5,2.3
48381,36,6,30,18,0,0,0,0,36,7,1.7,3.2
48383,2,1,1,2,0,0,0,0,2,1,2,4
48385,22,11,11,13,0,0,0,0,20,4,1.7,3.1
48387,33,11,22,13,0,0,9,0,22,1,0,2
48389,1,1,0,1,0,0,0,0,1,1,0,3
48391,4,1,3,2,0,0,2,0,2,2,1,2
48395,85,28,55,24,0,0,54,0,23,12,0.9,1.8
48397,137,53,84,60,10,9,23,8,113,19,1.2,2.2
48399,29,15,14,14,0,0,1,0,27,8,1.3,2.8
48401,53,15,38,18,0,0,22,0,31,3,1.3,2.7
